Source: U.S. Census Bureau; Census 2000.,,,SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,,,RACE,,,,,,,,,,,,,,,,,,,,Race alone or in combination with one or more other races:,,,,,,,HISPANIC OR LATINO AND RACE,,,,,,,,,RELATIONSHIP,,,,,,,,,,,,,,HOUSEHOLD BY TYPE,,,,,,,,,,,,,,,HOUSING OCCUPANCY,,,,,,,HOUSING TENURE,,,,
Geographic Area,Total population ,,Male ,Female ,Under 5 years ,5 to 9 years ,10 to 14 years ,15 to 19 years ,20 to 24 years ,25 to 34 years ,35 to 44 years ,45 to 54 years ,55 to 59 years ,60 to 64 years ,65 to 74 years,75 to 84 years,85 years and over,Median age (years),18 years and over,Male,Female,21 years and over,62 years and over,65 years and over,Male,Female,,One race,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian 1,Native Hawaiian and Other Pacific Islander,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander 2,Some other race,Two or more races,,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,,Total population,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,,Total population,In households,Householder,Spouse,Child,Own child under 18 years,Other relatives,Under 18 years,Nonrelatives,Unmarried partner,In group quarters,Institutionalized population,Noninstitutionalized population,,Total households,Family households (families),With own children under 18 years,Married-couple family,With own children under 18 years,Female householder; no husband present,With own children under 18 years,Nonfamily households,Householder living alone,Householder 65 years and over,Households with individuals under 18 years,Households with individuals 65 years and over,Average household size,Average family size ,,Total housing units,Occupied housing units,Vacant housing units,For seasonal; recreational; or occasional use,Homeowner vacancy rate (percent),Rental vacancy rate (percent),,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Average household size of owner-occupied units,Average household size of renter-occupied units
United States,281421906,,138053563,143368343,19175798,20549505,20528072,20219890,18964001,39891724,45148527,37677952,13469237,10805447,18390986,12361180,4239587,35.3,209128094,100994367,108133727,196899193,41256029,34991753,14409625,20582128,,274595678,211460626,34658190,2475956,10242998,1678765,2432585,1850314,796700,1076872,1122528,1285234,398835,140652,58240,91029,108914,15359073,6826228,,216930975,36419434,4119301,11898828,874414,18521486,,281421906,35305818,20640711,3406178,1241685,10017244,246116088,194552774,,281421906,273643273,105480101,54493232,83393392,64494637,15684318,6042435,14592230,5475768,7778633,4059039,3719594,,105480101,71787347,34588368,54493232,24835505,12900103,7561874,33692754,27230075,9722857,38022115,24672708,2.59,3.14,,115904641,105480101,10424540,3578718,1.7,6.8,,105480101,69815753,35664348,2.69,2.4
United States; Inside Metropolitan Areas,225981679,,110575959,115405720,15677146,16698886,16423121,15980862,15436981,33118015,36765906,30146281,10561621,8314800,14108439,9532318,3217303,34.9,167693569,80713274,86980295,157953325,31660665,26858060,10982244,15875816,,219991013,164469296,29893271,1421132,9826110,1625547,2375871,1749085,724911,1034843,1094262,1221591,339015,102870,52384,85409,98352,14042189,5990666,,169206739,31496534,2698724,11313047,728623,16969041,,225981679,32173942,18508159,3281163,1205554,9179066,193807737,149115627,,225981679,220238823,84304885,42757993,67509797,51931541,13368119,4976300,12298029,4456488,5742856,2743401,2999455,,84304885,56949861,27832851,42757993,19912013,10635000,6198642,27355024,21867714,7376856,30604704,19012748,2.61,3.17,,90812960,84304885,6508075,1640880,1.6,6.4,,84304885,54160750,30144135,2.73,2.41
United States; Inside Metropolitan Areas; Inside Central Cities,85401127,,41517287,43883840,6086807,6191412,5820641,6229626,7365797,13935332,13021399,10441623,3571680,2880503,5016687,3557918,1281702,32.7,63935306,30552343,33382963,59515710,11523613,9856307,3860393,5995914,,82596807,51220698,18413537,621504,4565739,629328,1200007,759370,325571,425384,553336,672743,138381,35493,22586,36899,43403,7636948,2804320,,53337923,19261202,1168477,5202866,296810,9136620,,85401127,16459217,9407070,1973596,339443,4739108,68941910,43891379,,85401127,82487335,32753918,13232903,24394149,18487304,6163975,2370360,5942390,1956841,2913792,1122911,1790881,,32753918,19887988,9842765,13232903,6097762,5133109,3048934,12865930,10146021,3046325,11082094,7136657,2.52,3.2,,35414873,32753918,2660955,309299,1.9,6.5,,32753918,16541014,16212904,2.65,2.38
United States; Inside Metropolitan Areas; Outside Central Cities,140580552,,69058672,71521880,9590339,10507474,10602480,9751236,8071184,19182683,23744507,19704658,6989941,5434297,9091752,5974400,1935601,36.1,103758263,50160931,53597332,98437615,20137052,17001753,7121851,9879902,,137394206,113248598,11479734,799628,5260371,996219,1175864,989715,399340,609459,540926,548848,200634,67377,29798,48510,54949,6405241,3186346,,115868816,12235332,1530247,6110181,431813,7832421,,140580552,15714725,9101089,1307567,866111,4439958,124865827,105224248,,140580552,137751488,51550967,29525090,43115648,33444237,7204144,2605940,6355639,2499647,2829064,1620490,1208574,,51550967,37061873,17990086,29525090,13814251,5501891,3149708,14489094,11721693,4330531,19522610,11876091,2.67,3.15,,55398087,51550967,3847120,1331581,1.4,6.2,,51550967,37619736,13931231,2.76,2.44
United States; Outside Metropolitan Areas,55440227,,27477604,27962623,3498652,3850619,4104951,4239028,3527020,6773709,8382621,7531671,2907616,2490647,4282547,2828862,1022284,37.2,41434525,20281093,21153432,38945868,9595364,8133693,3427381,4706312,,54604665,46991330,4764919,1054824,416888,53218,56714,101229,71789,42029,28266,63643,59820,37782,5856,5620,10562,1316884,835562,,47724236,4922900,1420577,585781,145791,1552445,,55440227,3131876,2132552,125015,36131,838178,52308351,45437147,,55440227,53404450,21175216,11735239,15883595,12563096,2316199,1066135,2294201,1019280,2035777,1315638,720139,,21175216,14837486,6755517,11735239,4923492,2265103,1363232,6337730,5362361,2346001,7417411,5659960,2.52,3.02,,25091681,21175216,3916465,1937838,2.1,9.3,,21175216,15655003,5520213,2.57,2.38
Northeast Region,53594378,,25897327,27697051,3395914,3743901,3761967,3593498,3310411,7417849,8807882,7383303,2676017,2131354,3768272,2665551,938459,36.8,40546595,19209254,21337341,38389981,8608845,7372282,2952387,4419895,,52365917,41533502,6099881,162558,2119426,554302,691755,202100,76350,246144,115487,233288,20880,4493,4595,3821,7971,2429670,1228461,,42395625,6556909,374035,2368297,63907,3138918,,53594378,5254087,479169,2074574,168959,2531385,48340291,39327262,,53594378,51926613,20285622,10127653,15898920,11779791,2911203,965446,2703215,1077988,1667765,776269,891496,,20285622,13547677,6372906,10127653,4576777,2594091,1428982,6737945,5519312,2125149,6956202,5212164,2.56,3.14,,22180440,20285622,1894818,823429,1.4,5,,20285622,12651302,7634320,2.71,2.3
Midwest Region,64392776,,31555438,32837338,4353169,4688024,4763911,4766600,4316080,8745989,10278309,8674202,3070475,2476942,4247710,2947070,1064295,35.6,47745110,23022220,24722890,44874124,9696390,8259075,3364156,4894919,,63370308,53833651,6499733,399490,1197554,293012,212081,151057,63012,132378,106938,239076,22492,5812,4587,5089,7004,1417388,1022468,,54709407,6838669,714792,1392938,55364,1769970,,64392776,3124532,2200196,325363,45305,553668,61268244,52386131,,64392776,62600946,24734532,12963564,19250310,15177885,2619519,1072322,3033021,1258969,1791830,942411,849419,,24734532,16670330,8019844,12963564,5841512,2758239,1678108,8064202,6644087,2441025,8673899,5745728,2.53,3.09,,26963635,24734532,2229103,714853,1.6,7.2,,24734532,17373745,7360787,2.66,2.23
South Region,100236820,,49057320,51179500,6847503,7213897,7233891,7217184,6880955,14319343,15947301,13295731,4871216,3971532,6711853,4295868,1430546,35.3,74669917,35958852,38711065,70252266,14748176,12438267,5129011,7309256,,98389805,72819399,18981692,725919,1922407,440714,342523,244547,77468,224260,335679,257216,51217,12494,14631,8813,15279,3889171,1847015,,74303744,19528231,1259230,2267094,117947,4719249,,100236820,11586696,6548081,759305,921427,3357883,88650124,65927794,,100236820,97400148,38015214,19740328,29065944,22499811,5833561,2476865,4745101,1809254,2836672,1604097,1232575,,38015214,26257626,12436531,19740328,8764414,4971496,2910498,11757588,9630163,3396582,13852937,8814434,2.56,3.08,,42382546,38015214,4367332,1302807,1.9,8.7,,38015214,25987886,12027328,2.63,2.41
West Region,63197932,,31543478,31654454,4579212,4903683,4768303,4642608,4456555,9408543,10115035,8324716,2851529,2225619,3663151,2452691,806287,33.8,46166472,22804041,23362431,43382822,8202618,6922129,2964071,3958058,,60469648,43274074,3076884,1187989,5003611,390737,1186226,1252610,579870,474090,564424,555654,304246,117853,34427,73306,78660,7622844,2728284,,45522199,3495625,1771244,5870499,637196,8893349,,63197932,15340503,11413265,246936,105994,3574308,47857429,36911587,,63197932,61715566,22444733,11661687,19178218,15037150,4320035,1527802,4110893,1329557,1482366,736262,746104,,22444733,15311714,7759087,11661687,5652802,2576277,1544286,7133019,5436513,1760101,8539077,4900382,2.75,3.3,,24378020,22444733,1933287,737629,1.7,5.4,,22444733,13802820,8641913,2.82,2.64
New England Division,13922517,,6738103,7184414,864908,959570,975108,929752,839937,1910999,2350402,1966437,700702,533073,948285,689939,253405,37.1,10574620,5021723,5552897,10009060,2200544,1891629,761922,1129707,,13640217,12050905,719063,42257,374361,76157,115976,20668,17415,29337,46452,68356,5316,1278,1239,1049,1750,448315,282300,,12262195,821871,100700,426140,16440,594992,,13922517,875225,60173,428936,18669,367447,13047292,11686617,,13922517,13463335,5387114,2732144,4017108,3090774,572546,183153,754423,311492,459182,190048,269134,,5387114,3545363,1685161,2732144,1230314,614210,360768,1841751,1464342,553537,1807710,1322694,2.5,3.07,,5941108,5387114,553994,331081,1,4.4,,5387114,3494326,1892788,2.68,2.17
