Point,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,Afghanistan,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461666315,4338907579,4766127272,5704202651,6814753581,7721931671,9739337183,11757405533,0,0
2,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1924242456,1965384581,2173750016,2156624896,2126000000,2335124992,2101624960,1139166679,709452572.7,1228071037,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9132562332,10704660840,12968653525,12044881925,11786099138
3,Algeria,2723637620,2434766866,2001460839,2703004010,2909340115,3136284385,3039859268,3370870461,3852147113,4257253358,4863487557,5077222330,6761786484,8715106129,13209713770,15557934473,17728348385,20971901063,26364491675,33243421339,42345276288,44348670724,45207090668,48801372228,53698280323,57937867717,63696299985,66742269090,59089065517,55631488294,62045098370,45715368144,48003297249,49946456681,42542573602,41764054035,46941496308,48177861891,48187780126,48640613515,54790058957,55180990396,57053038888,68018606041,85013944728,1.02E+11,1.17E+11,1.36E+11,1.71E+11,1.41E+11,1.59E+11
4,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Andorra,0,0,0,0,0,0,0,0,0,0,78617570.32,89406659.51,113414331.9,150841699.1,186557164,220112850.8,227284165.9,253998069.1,308020384.4,411548246.8,446377494.9,388983013.9,375914742.9,327849949,330073024.9,346742901.7,481996232.9,611300198.5,721426027.5,795489398,1028989439,1106890943,1209992604,1007090896,1017544619,1178745262,1224023470,1180646037,1211953954,1239840266,1133644295,1264760246,1456198796,1917948475,2322163502,2539759286,2823503853,3245411584,3712034267,0,0
6,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6804278063,6355849179,7383121654,7975234067,9283054576,10260193361,12193746625,5779394292,5285600050,4059577145,5039534776,7526446606,7675412589,6445192204,6154480287,9129180361,8936023212,11431738445,13956268299,19775218958,30632364954,45163239832,60451594399,84178512502,75492890278,84390572977
7,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66144443.28,74855554.23,92240739.11,110066664.7,124462954.8,137951855.3,153270373.6,173511108,201862965.3,245896292,286474069,338696290.3,373403703,391570363.5,410388899.4,423762955.5,456537023,500088880.1,494185188.3,541074082.3,579851829.8,620037014.2,651851840.3,664174062.3,696251839.6,713533320.7,753107394.1,815396281.9,866818503.2,1010881464,1155366646,1203314815,1097688889,1014981481
8,Argentina,0,0,0,0,0,28344705968,28630474726,24256667555,26436857248,31256284545,31584210365,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.04E+11,79092001998,88416668900,1.11E+11,1.11E+11,1.26E+11,76636898036,1.41E+11,1.9E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,1.02E+11,1.3E+11,1.53E+11,1.83E+11,2.14E+11,2.61E+11,3.27E+11,3.07E+11,3.69E+11
9,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900436759,6384457744,9206277479,11662017845,8541111815,9264794733
10,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872067021.9,958659238.3,1083240282,1245810154,1320670419,1379888369,1531843680,1665363128,1722905065,1858659293,1898882758,1911173189,0,0,0,0,0,0,0,0
11,Australia,0,0,0,0,0,26130585732,27465561653,30603651025,32905140553,36892149177,41571284578,45487736589,52358644860,64224215247,89473839352,97839683190,1.06E+11,1.11E+11,1.19E+11,1.36E+11,1.51E+11,1.78E+11,1.95E+11,1.78E+11,1.95E+11,1.82E+11,1.83E+11,1.9E+11,2.39E+11,3.02E+11,3.15E+11,3.3E+11,3.29E+11,3.16E+11,3.27E+11,3.71E+11,4.04E+11,4.38E+11,4.01E+11,3.9E+11,4.17E+11,3.8E+11,3.97E+11,4.68E+11,6.15E+11,6.96E+11,7.49E+11,8.57E+11,1.04E+12,9.25E+11,0
12,Austria,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15261259809,17728673081,21899261664,29300920838,34933509938,39768017476,42647701158,51144915494,61554742727,73407497684,81467464369,70500215137,70682448980,71496768040,67403442679,68781084730,98203625056,1.23E+11,1.32E+11,1.32E+11,1.65E+11,1.72E+11,1.93E+11,1.88E+11,2.01E+11,2.38E+11,2.34E+11,2.07E+11,2.12E+11,2.11E+11,1.91E+11,1.9E+11,2.06E+11,2.52E+11,2.89E+11,3.03E+11,3.22E+11,3.72E+11,4.15E+11,3.81E+11,3.76E+11
13,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20982270733,33049380918,46258154820,43019407813,51092154421
